user_id,user_name,num_games,max_viewers
144587203,barstoolsports,2,768
70633893,Marcy7,2,757
122681480,JelyFishTN,2,753
460133452,fritz_meinecke,2,753
31549282,Minion777,2,751
25372991,watchmeblink,2,750
29661191,zironicdk,2,746
137728196,서넹,2,743
21045643,Clym,2,730
68406941,MahyarS,2,730
117209801,Seals311,2,730
74917535,Sakul97,2,728
41815218,WaifuDeliveryService,2,726
50082761,T4TiNo23,2,725
103495737,ShoXx__,2,724
137125968,ManelAkaForce,2,721
43478207,Dev1,2,717
71509335,ipav999,2,717
43582520,Perrick,2,714
46736025,MissClick_TV,2,714
119257472,demisux,2,708
473388215,24_Flash,2,706
62814828,Gonzaroo,2,703
152954848,BriceGamingZone,2,702
71031406,KindaFunnyGames,2,700
185845084,나라카일_,2,698
91985616,enoz,2,691
86112154,rnpcasino,2,685
82948335,Fonikibekatsa,2,685
44096715,dimaoneshot,2,683
48856368,Larxa,2,672
97677500,Slade,2,669
517529126,banthonytanthony,2,669
81764480,gsmVoiD,2,647
37121843,Yuuie,2,646
25924287,PsiSyn,2,633
128837526,kittinaa,2,632
133635679,NoHandGamingYT,2,631
48919437,kev1nTV,2,627
113379472,m4dshaw,2,618
141630000,모잉이_,2,615
73729481,Suisenn,2,608
86690831,Takadoto,2,608
68809009,DerWegrenner,2,607
43960948,Vicksy,2,605
231415521,mrslothbr,2,605
26804762,DesertP,2,604
36805119,xXOverman,2,597
111181680,thedragonfeeney,2,597
54394483,rdo1337,2,596
143142225,MyssFPS,2,593
59250665,BruceGreene,2,592
102384758,홍차,2,591
14824099,Trizze,2,583
53284096,Lory,2,578
43028559,Milkydinho,2,575
30770604,byViruZzzz,2,571
216351084,蛇足,2,570
256447189,danny_lazzarin,2,570
158130480,TweaK,2,564
35884457,BRNWOWZK1,2,562
213409523,IvoXxX,2,546
83860674,FIFA_STYLO,2,545
39101178,Kstar,2,539
172791993,TheMacroShow,2,537
142582729,oiRainly,2,534
78143851,CoyaLetsPlay,2,533
20478262,TeamLiquid,2,533
419394030,AlvaroStorm,2,532
90288212,SirGibsy,2,527
153518056,BossioYT,2,519
53770519,Lachinio,2,514
168327867,murilo_RT,2,513
112553336,Zaardoz,2,512
60513811,Spartiatix,2,504
49048593,mukkayo,2,502
44061762,DiegoGB,2,500
22551603,gebauermarc,2,497
61765204,XenosysVex,2,496
421831053,guivissotto,2,496
25584648,FinalBossTV,2,496
172378151,LocoBaltar,2,495
32626463,SDShepard,2,492
76846779,Yoona,2,488
51529432,Cepreu_Inq,2,482
184189096,Forweark,2,480
68758534,IvanForeverLife,2,479
88436114,SchviftyFive,2,479
499120395,rominacheve,2,477
183233336,RokKeks,2,477
267086754,Hedablida,2,477
25902230,KaggyFilms,2,475
192231926,CanardPC,2,474
134295245,Varvalian,2,469
43183012,QuelTaleAleTV,2,468
13153992,ProJared,2,466
139064318,Nitroow,2,463
196088251,DudePerfectGaming,2,460
25046512,Abver,2,459
47815280,sasa,2,458
32349768,Gmart,2,453
30773592,DJboucherie,2,447
122154986,XLaKaLuKaX,2,446
88398526,ONE_shot_GURL,2,445
133355284,Em0Bulgaria,2,443
38948800,KneeColeslaw,2,443
111722702,Chenzo,2,442
21532585,TheEnclase,2,439
26184492,Lege,2,436
137133367,Seamoose,2,435
39670679,electrinchen,2,435
65645549,kentilduca,2,435
111673150,missawrizzeru,2,433
15409117,輝哥,2,431
98451869,Samuse,2,431
31063899,ShubbleYT,2,430
433375373,slamftw,2,429
83599274,Nono_LoL,2,428
218301998,B_U_L_O_C_H_K_A,2,426
168729548,PaladinAmber,2,425
65833588,MopGarden,2,423
409760532,freyzplayz,2,423
213814233,venipaw,2,423
60719956,poul_maniac,2,419
32404640,guishorro,2,416
57022632,GzaFizzle,2,413
29673295,Parliamodivg,2,407
239778192,kleptoturtle,2,407
26671723,nurseos,2,405
47814097,TheGawd,2,405
138944946,SloppyR6,2,405
103206445,Heidergeil,2,402
52748308,jakidale,2,400
59970811,vikared,2,397
449482241,kimcella,2,392
240832627,ndpgod,2,390
38179826,BierbankB,2,386
264703820,federico_leo88,2,384
125939156,AIll0X,2,376
64479508,Dada,2,375
62048659,Garmy,2,375
179481238,JLFranklin_,2,374
69869005,Pelcu,2,370
